phone_names,ratings,reviews,price,offer,ram,rom,screen_size,expandable,rear_camera,front_camera,battery,processor
REDMI Note 12 5G Matte Black,"10,622",771,"₹21,999","₹16,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,48MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor
SAMSUNG Galaxy M14 5G Icy Silver,"9,143",628,"₹18,990","₹14,185",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Display,,50MP Rear Camera,,6000 mAh Battery,
REDMI A2 Aqua Blue,"1,019",64,"₹9,999","₹5,877",2 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) Display,,8MP Rear Camera,,5000 mAh Battery,
OPPO Reno10 5G Ice Blue,"33,658","4,175","₹38,999","₹32,999",8 GB RAM ,256 GB ROM,17.02 cm (6.7 inch) ,,64MP + 32MP + 8MP , 32MP Front Camera,5000 mAh Battery,Mediatek Dimensity 7050 Processor
POCO C55 Cool Blue,"77,968","4,765","₹11,999","₹6,799",4 GB RAM ,64 GB ROM,17.04 cm (6.71 inch) HD+ Display,yes,50MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Mediatek Helio G85 Processor
Nokia 105 Single SIM,"80,428","5,233","₹1,599","₹1,299",32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) Display,,0MP , 0MP Front Camera,1000 mAh Battery,SC6531E Processor
MOTOROLA g14 Sky Blue,"23,123","2,126","₹12,999","₹8,499",4 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,T616 Processor
MOTOROLA Edge 40 Neo Caneel Bay,"10,720","1,642","₹27,999","₹22,999",8 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) ,,50MP + 13MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor
REDMI Note 12 Lunar Black,"24,436","2,000","₹20,999","₹13,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,50MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Snapdragon 685 Processor
POCO C51 Royal Blue,"1,409",71,"₹10,999","₹6,999",6 GB RAM ,128 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Rear Camera , 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor
MOTOROLA e13 Aurora Green,"78,021","6,248","₹10,999","₹6,999",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
SAMSUNG Galaxy F13 Sunrise Copper,"1,85,078","10,574","₹14,999","₹8,199",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 5MP + 2MP , 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor
MOTOROLA g54 5G Mint Green,"23,273","2,314","₹17,999","₹14,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP (OIS) + 8MP , 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor
POCO C51 Power Black,"1,33,361","7,456","₹9,999","₹6,249",4 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Dual Rear Camera , 5MP Front Camera,5000 mAh Battery,Helio G36 Processor
Infinix SMART 7 Emerald Green,"1,17,537","5,992","₹10,999","₹7,299",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,13MP + AI Lens , 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
Infinix SMART 7 Azure Blue,"1,17,537","5,992","₹10,999","₹7,299",4 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,13MP + AI Lens , 5MP Front Camera,6000 mAh Battery,Unisoc Spreadtrum SC9863A1 Processor
Infinix Smart 7 HD Ink Black,"30,722","1,445","₹7,999","₹5,999",2 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,8MP + AI Lens , 5MP Front Camera,5000 mAh Battery,"Spreadtrum 
SC9863A1 Processor"
Infinix Smart 7 HD Jade White,"30,722","1,445","₹7,999","₹5,999",2 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) HD+ Display,yes,8MP + AI Lens , 5MP Front Camera,5000 mAh Battery,Spreadtrum SC9863A1 Processor
APPLE iPhone 12 Blue,"2,04,179","13,586","₹49,900","₹40,999",64 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
Infinix HOT 30 5G Miami Orange,"3,076",294,"₹14,999","₹11,499",4 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,yes,50 MP + AI Lens , 8MP Front Camera,6000 mAh Lithium Ion Polymer Battery,Dimensity 6020 5G Processor
REDMI Note 12 Lunar Black,"24,436","2,000","₹20,999","₹13,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,50MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Snapdragon 685 Processor
OnePlus Nord CE 3 Lite 5G Chromatic Gray,"26,063","1,869","₹21,999","₹21,930",8 GB RAM ,256 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
APPLE iPhone 12 Black,"2,04,179","13,586","₹49,900","₹40,999",64 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
SAMSUNG Galaxy M14 5G Smoky Teal,"9,143",628,"₹18,990","₹14,108",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Display,,50MP Rear Camera,,6000 mAh Battery,
SAMSUNG Galaxy M14 5G Icy Silver,"9,143",628,"₹18,990","₹13,850",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Display,,50MP Rear Camera,,6000 mAh Battery,
REDMI Note 12 Lunar Black,"24,436","2,000","₹18,999","₹11,999",6 GB RAM ,64 GB ROM,16.94 cm (6.67 inch) ,yes,50MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Snapdragon 685 Processor
MOTOROLA e13 Little Boy Blue,"18,817","1,163","₹10,999","₹7,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
Infinix Note 30 5G Sunset Gold,"59,168","6,572","₹19,999","₹15,499",8 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,yes,108 MP + 2 MP+ AI Lens , 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor
vivo T2x 5G Marine Blue,"2,50,618","13,734","₹18,999","₹12,999",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6020 Processor
realme 9i 5G Soulful Blue,"11,006",736,"₹19,999","₹16,999",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
realme 9i 5G Rocking Black,"11,006",736,"₹19,999","₹16,999",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
realme 9i 5G Metallica Gold,"54,639","2,707","₹17,999","₹11,999",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
realme 9i 5G Soulful Blue,"54,639","2,707","₹17,999","₹11,999",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
realme 9i 5G Metallica Gold,"11,006",736,"₹19,999","₹16,999",6 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
realme 9i 5G Rocking Black,"54,639","2,707","₹17,999","₹11,999",4 GB RAM ,64 GB ROM,16.76 cm (6.6 inch) ,yes,50MP + 2MP + 2MP , 8MP Front Camera,5000 mAh Lithium Ion Battery,Mediatek Dimensity 810 5G Processor
MOTOROLA Edge 40 Neo Soothing Sea,"18,673","2,874","₹29,999","₹24,999",12 GB RAM ,256 GB ROM,16.64 cm (6.55 inch) ,,50MP + 13MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor
MOTOROLA G32 Mineral Gray,"94,135","7,936","₹18,999","₹10,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,,50MP + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor
MOTOROLA Edge 40 Neo Caneel Bay,"18,673","2,874","₹29,999","₹24,999",12 GB RAM ,256 GB ROM,16.64 cm (6.55 inch) ,,50MP + 13MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor
Infinix HOT 30 5G Knight Black,"3,076",294,"₹14,999","₹11,499",4 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,yes,50 MP + AI Lens , 8MP Front Camera,6000 mAh Lithium Ion Polymer Battery,Dimensity 6020 5G Processor
MOTOROLA g54 5G Midnight Blue,"23,273","2,314","₹17,999","₹14,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP (OIS) + 8MP , 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor
REDMI A2 Sea Green,"1,019",64,"₹9,999","₹5,953",2 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) Display,,8MP Rear Camera,,5000 mAh Battery,
realme 11x 5G Purple Dawn,"9,491",670,"₹18,999","₹15,999",8 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) ,yes,64MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
REDMI A2 Classic Black,"1,019",64,"₹9,999","₹5,910",2 GB RAM ,64 GB ROM,16.56 cm (6.52 inch) Display,,8MP Rear Camera,,5000 mAh Battery,
realme C53 Champion Black,"74,513","3,354","₹12,999","₹9,999",6 GB RAM ,64 GB ROM,17.12 cm (6.74 inch) HD Display,yes,108MP + 2MP , 8MP Front Camera,5000 mAh Battery,T612 Processor
realme C53 Champion Gold,"74,513","3,354","₹12,999","₹9,999",6 GB RAM ,64 GB ROM,17.12 cm (6.74 inch) HD Display,yes,108MP + 2MP , 8MP Front Camera,5000 mAh Battery,T612 Processor
realme C51 Mint Green,"46,328","2,007","₹10,999","₹8,999",4 GB RAM ,64 GB ROM,17.12 cm (6.74 inch) HD Display,yes,50MP + 0.08MP , 5MP Front Camera,5000 mAh Battery,T612 Processor
Infinix Note 30 5G Sunset Gold,"3,552",376,"₹17,999","₹14,499",4 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,yes,108 MP + 2 MP+ AI Lens , 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor
OnePlus Nord CE 3 Lite 5G Pastel Lime,"26,063","1,869","₹19,999","₹19,947",8 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
SAMSUNG Guru Music 2,"2,13,989","19,389","₹2,899","₹2,880",NA ROM,,5.08 cm (2 inch) NA Display,,800 mAh Battery,,,
realme 11x 5G Purple Dawn,"82,886","5,341","₹16,999","₹14,999",6 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) ,yes,64MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
REDMI Note 12 Pro 5G Stardust Purple,"47,872","4,558","₹27,999","₹21,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,,50MP (OIS) + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor
MOTOROLA e13 Aurora Green,"78,021","6,248","₹10,999","₹6,999",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
REDMI 12 5G Pastel Blue,"7,986",534,"₹17,999","₹13,906",6 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) Display,,50MP Rear Camera,,5000 mAh Battery,
MOTOROLA e13 Cosmic Black,"78,021","6,248","₹10,999","₹6,999",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
Nokia 105 Single SIM,"80,428","5,233","₹1,549","₹1,395",32 MB RAM ,32 MB ROM,4.5 cm (1.77 inch) QVGA Display,,0MP Front Camera,,800 mAh Lithium Ion Battery,SC6531E Processor
realme C53 Champion Gold,"17,332","1,274","₹11,999","₹9,999",4 GB RAM ,128 GB ROM,17.12 cm (6.74 inch) HD Display,yes,108MP + 2MP , 8MP Front Camera,5000 mAh Battery,T612 Processor
MOTOROLA Edge 40 Viva Magenta,"57,035","6,681","₹34,999","₹26,999",8 GB RAM ,256 GB ROM,16.51 cm (6.5 inch) ,,50MP + 13MP , 32MP Front Camera,4400 mAh Battery,Dimensity 8020 Processor
vivo T2 5G Velocity Wave,"13,883",963,"₹24,999","₹19,999",8 GB RAM ,128 GB ROM,16.21 cm (6.38 inch) ,,64 MP (OIS) + 2MP , 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor
vivo T2 5G Nitro Blaze,"13,883",963,"₹24,999","₹19,999",8 GB RAM ,128 GB ROM,16.21 cm (6.38 inch) ,,64 MP (OIS) + 2MP , 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor
MOTOROLA e13 Cosmic Black,"18,817","1,163","₹10,999","₹7,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
vivo V29 5G Blue,"1,208",133,,"₹36,999",12 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,50MP + 8MP + 2MP , 50MP Front Camera,4600 mAh Battery,778G Processor
vivo V29 5G Black,"1,208",133,,"₹36,999",12 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,50MP + 8MP + 2MP , 50MP Front Camera,4600 mAh Battery,778G Processor
MarQ by Flipkart M80 Jalwa,"4,134",375,"₹1,899",₹999,32 MB RAM ,32 MB ROM,7.11 cm (2.8 inch) QVGA Display,yes,0.3MP Rear Camera,,1450 mAh Li-ion Battery,
REDMI 12 Pastel Blue,"23,733","1,661","₹15,999","₹10,499",6 GB RAM ,128 GB ROM,17.25 cm (6.79 inch) ,yes,50MP + 8MP + 2MP , 8MP Front Camera,5000 mAh Battery,Helio G88 Processor
MOTOROLA g14 Butter Cream,"23,123","2,126","₹12,999","₹8,499",4 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Battery,T616 Processor
Google Pixel 7a Snow,"11,898","1,400","₹43,999","₹39,999",8 GB RAM ,128 GB ROM,15.49 cm (6.1 inch) ,,64MP (OIS) + 13MP , 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor
APPLE iPhone 14 Plus Blue,"52,021","3,062","₹79,900","₹69,999",128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
REDMI Note 12 5G Frosted Green,"6,847",573,"₹19,999","₹15,499",4 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,48MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor
realme 11 Pro+ 5G Astral Black,"43,972","4,301","₹29,999","₹27,999",8 GB RAM ,256 GB ROM,17.02 cm (6.7 inch) ,,200MP (OIS) + 8MP + 2MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor
Google Pixel 7a Charcoal,"11,898","1,400","₹43,999","₹39,999",8 GB RAM ,128 GB ROM,15.49 cm (6.1 inch) ,,64MP (OIS) + 13MP , 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor
REDMI Note 12 5G Mystique Blue,"3,192",270,"₹23,999","₹18,999",8 GB RAM ,256 GB ROM,16.94 cm (6.67 inch) ,yes,48MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor
MOTOROLA e13 Creamy White,"78,021","6,248","₹10,999","₹6,999",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
MOTOROLA g54 5G Midnight Blue,"32,479","2,884","₹21,999","₹16,999",12 GB RAM ,256 GB ROM,16.51 cm (6.5 inch) ,yes,50MP (OIS) + 8MP , 16MP Front Camera,6000 mAh Battery,Dimensity 7020 Processor
POCO X4 Pro 5G Laser Blue,"25,098","2,367","₹25,999","₹21,999",8 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,64MP + 8MP + 2MP , 16MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Qualcomm Snapdragon 695 5G Processor
realme 11 Pro+ 5G Oasis Green,"43,972","4,301","₹29,999","₹27,999",8 GB RAM ,256 GB ROM,17.02 cm (6.7 inch) ,,200MP (OIS) + 8MP + 2MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor
APPLE iPhone 12 White,"2,04,179","13,586","₹49,900","₹41,999",64 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
MarQ by Flipkart M80 Jalwa,"4,134",375,"₹1,899",₹999,32 MB RAM ,32 MB ROM,7.11 cm (2.8 inch) QVGA Display,yes,0.3MP Rear Camera,,1450 mAh Li-ion Battery,
realme 11 Pro+ 5G Sunrise Beige,"43,972","4,301","₹29,999","₹27,999",8 GB RAM ,256 GB ROM,17.02 cm (6.7 inch) ,,200MP (OIS) + 8MP + 2MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor
SAMSUNG Guru Music 2,"2,13,989","19,389","₹2,899","₹2,880",NA ROM,,5.08 cm (2 inch) NA Display,,800 mAh Battery,,,
REDMI Note 12 5G Matte Black,"6,847",573,"₹19,999","₹15,499",4 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,48MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor
realme C53 Champion Gold,"74,513","3,354","₹12,999","₹9,999",6 GB RAM ,64 GB ROM,17.12 cm (6.74 inch) HD Display,yes,108MP + 2MP , 8MP Front Camera,5000 mAh Battery,T612 Processor
MOTOROLA e13 Little Boy Blue,"18,817","1,163","₹10,999","₹7,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
REDMI Note 12 Pro+ 5G Iceberg Blue,"17,925","1,853","₹33,999","₹27,999",8 GB RAM ,256 GB ROM,16.94 cm (6.67 inch) ,,200MP + 8MP + 2MP , 16MP Front Camera,4980 mAh Lithium Polymer Battery,Mediatek Dimensity 1080 Processor
OPPO Reno10 5G Silvery Grey,"33,658","4,175","₹38,999","₹32,999",8 GB RAM ,256 GB ROM,17.02 cm (6.7 inch) ,,64MP + 32MP + 8MP , 32MP Front Camera,5000 mAh Battery,Mediatek Dimensity 7050 Processor
HOTLINE H310,"1,349",98,₹999,₹649,32 MB RAM ,32 MB ROM,4.57 cm (1.8 inch) Display,,0.3MP Rear Camera,,1000 mAh Battery,
REDMI Note 12 5G Mystique Blue,"10,622",771,"₹21,999","₹16,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,48MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor
Infinix HOT 30 5G Aurora Blue,"3,076",294,"₹14,999","₹11,499",4 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,yes,50 MP + AI Lens , 8MP Front Camera,6000 mAh Lithium Ion Polymer Battery,Dimensity 6020 5G Processor
vivo V29e 5G Artistic Red,"12,878","1,307","₹33,999","₹28,999",8 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,64MP + 8MP , 50MP Front Camera,5000 mAh Battery,Snapdragon 695 Processor
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,"2,555",207,"₹1,449",₹897,4 MB RAM ,4 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,yes,0MP Front Camera,,1000 mAh Lithium Ion Battery,Spreadtrum Processor
itel Ace2 Keypad Mobile| 1000 mAh Battery|Expandable Storage 32GB,"2,555",207,"₹1,449",₹897,4 MB RAM ,4 MB ROM,4.57 cm (1.8 inch) Quarter QVGA Display,yes,0MP Front Camera,,1000 mAh Lithium Ion Battery,Spreadtrum Processor
MOTOROLA Edge 40 Neo Black Beauty,"10,720","1,642","₹27,999","₹22,999",8 GB RAM ,128 GB ROM,16.64 cm (6.55 inch) ,,50MP + 13MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7030 Processor
APPLE iPhone 14 Plus Blue,"52,021","3,062","₹79,900","₹69,999",128 GB ROM,,17.02 cm (6.7 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
POCO M4 5G Yellow,"99,338","6,861","₹15,999","₹9,999",4 GB RAM ,64 GB ROM,16.71 cm (6.58 inch) ,yes,50MP + 2MP , 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor
MOTOROLA Edge 40 Eclipse Black,"57,035","6,681","₹34,999","₹26,999",8 GB RAM ,256 GB ROM,16.51 cm (6.5 inch) ,,50MP + 13MP , 32MP Front Camera,4400 mAh Battery,Dimensity 8020 Processor
Infinix Note 30 5G Magic Black,"3,552",376,"₹17,999","₹14,499",4 GB RAM ,128 GB ROM,17.22 cm (6.78 inch) ,yes,108 MP + 2 MP+ AI Lens , 16MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 6080 Processor
vivo V29 Pro 5G Blue,995,149,,"₹42,999",12 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,50MP + 12MP + 8MP , 50MP Front Camera,4600 mAh Battery,Dimensity 8200 Processor
APPLE iPhone 12 Blue,"2,04,179","13,586","₹54,900","₹46,999",128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
POCO M5 Yellow,"12,147",831,"₹18,999","₹8,999",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,yes,50MP + 2MP Depth Sensor + 2MP Macro Sensor , 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor
realme 11x 5G Midnight Black,"82,886","5,341","₹16,999","₹14,999",6 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) ,yes,64MP + 2MP , 8MP Front Camera,5000 mAh Battery,Dimensity 6100+ Processor
vivo V29 Pro 5G Black,995,149,,"₹42,999",12 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,50MP + 12MP + 8MP , 50MP Front Camera,4600 mAh Battery,Dimensity 8200 Processor
REDMI Note 12 5G Mystique Blue,"10,622",771,"₹21,999","₹16,999",6 GB RAM ,128 GB ROM,16.94 cm (6.67 inch) ,yes,48MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 4 Gen 1 Processor
itel A60S SHADOW BLACK,505,39,"₹8,999","₹6,623",8 GB RAM ,128 GB ROM,16.76 cm (6.6 inch) Display,,8MP Rear Camera,,5000 mAh Battery,
SAMSUNG GURU MUSIC 2,"5,099",390,"₹2,890","₹1,990",8 MB RAM ,0 GB ROM,5.08 cm (2 inch) QVGA Display,yes,0MP , 0MP Front Camera,800 mAh Battery,0 0 0 208MHz Processor
vivo V29 Pro 5G Blue,"3,614",622,,"₹39,999",8 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,50MP + 12MP + 8MP , 50MP Front Camera,4600 mAh Battery,Dimensity 8200 Processor
MOTOROLA e13 Creamy White,"78,021","6,248","₹10,999","₹6,999",4 GB RAM ,64 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
vivo V29 Pro 5G Black,"3,614",622,,"₹39,999",8 GB RAM ,256 GB ROM,17.22 cm (6.78 inch) ,,50MP + 12MP + 8MP , 50MP Front Camera,4600 mAh Battery,Dimensity 8200 Processor
POCO M5 Power Black,"12,147",831,"₹18,999","₹8,999",6 GB RAM ,128 GB ROM,16.71 cm (6.58 inch) ,yes,50MP + 2MP Depth Sensor + 2MP Macro Sensor , 8MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio G99 Processor
OnePlus Nord CE 3 Lite 5G Chromatic Gray,"26,063","1,869","₹19,999","₹19,756",8 GB RAM ,128 GB ROM,17.07 cm (6.72 inch) Display,,108MP Rear Camera,,5000 mAh Battery,
REDMI Note 12 Sunrise Gold,"24,436","2,000","₹18,999","₹11,999",6 GB RAM ,64 GB ROM,16.94 cm (6.67 inch) ,yes,50MP + 8MP + 2MP , 13MP Front Camera,5000 mAh Battery,Snapdragon 685 Processor
OnePlus Nord CE3 5G Aqua Surge,"2,540",240,"₹26,999","₹25,773",8 GB RAM ,128 GB ROM,17.02 cm (6.7 inch) Display,,50MP Rear Camera,,5000 mAh Battery,
POCO C51 Power Black,"1,409",71,"₹10,999","₹6,999",6 GB RAM ,128 GB ROM,16.56 cm (6.52 inch) HD+ Display,yes,8MP Rear Camera , 5MP Front Camera,5000 mAh Lithium Polymer Battery,Helio G36 Processor
Google Pixel 7a Coral,"11,898","1,400","₹43,999","₹39,999",8 GB RAM ,128 GB ROM,15.49 cm (6.1 inch) ,,64MP (OIS) + 13MP , 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor
Google Pixel 7a Charcoal,"11,898","1,400","₹43,999","₹39,999",8 GB RAM ,128 GB ROM,15.49 cm (6.1 inch) ,,64MP (OIS) + 13MP , 13MP Front Camera,4300 mAh Battery,Tensor G2 Processor
OnePlus Nord CE3 5G Grey Shimmer,"2,540",240,"₹26,999","₹26,330",8 GB RAM ,128 GB ROM,17.02 cm (6.7 inch) Display,,50MP Rear Camera,,5000 mAh Battery,
MOTOROLA e13 Creamy White,"18,817","1,163","₹10,999","₹7,999",8 GB RAM ,128 GB ROM,16.51 cm (6.5 inch) HD+ Display,yes,13MP Rear Camera , 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor
REDMI 12 5G Jade Black,"3,665",281,"₹19,999","₹16,245",8 GB RAM ,256 GB ROM,17.25 cm (6.79 inch) Display,,50MP Rear Camera,,5000 mAh Battery,
realme 11 Pro+ 5G Oasis Green,"14,834","1,463","₹32,999","₹29,999",12 GB RAM ,256 GB ROM,17.02 cm (6.7 inch) ,,200MP (OIS) + 8MP + 2MP , 32MP Front Camera,5000 mAh Battery,Dimensity 7050 Processor
APPLE iPhone 15 Blue,"1,545",140,,"₹79,900",128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,48MP + 12MP , 12MP Front Camera,,
APPLE iPhone 14 Purple,"2,35,894","9,062","₹69,900","₹61,999",128 GB ROM,,15.49 cm (6.1 inch) Super Retina XDR Display,,12MP + 12MP , 12MP Front Camera,,
